local_uri,tmdb_id,imdb_id,title,release_date,wikidata_uri,wikidata_label,wikidata_release_date,dbpedia_uri,search_method,matched_by,score,status
https://example.org/movie/157336,157336,tt0816692,Interstellar,11-05-14,http://www.wikidata.org/entity/Q13417189,Interstellar,10-26-14,http://dbpedia.org/resource/Interstellar_(film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1594914,1594914,tt19035928,Lucky Strike,06-26-26,http://www.wikidata.org/entity/Q140003925,Lucky Strike,06-26-26,http://dbpedia.org/resource/Lucky_Strike_(2026_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1599993,1599993,tt34224947,Animals,02-05-26,http://www.wikidata.org/entity/Q124359083,Animals,10-09-26,http://dbpedia.org/resource/Animals_(2026_film),title+release_year,title+release_year,0.90,review
https://example.org/movie/1621552,1621552,tt39390497,Facing El Chapo,08-21-26,http://www.wikidata.org/entity/Q141165617,La Captura,08-21-26,http://dbpedia.org/resource/Facing_El_Chapo,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/1641629,1641629,tt43617372,You+Me - Against the World,09-18-26,http://www.wikidata.org/entity/Q140465273,You+Me – Against the World,09-18-26,,identifier,tmdb_id+imdb_id+release_year,1.00,review
https://example.org/movie/1656489,1656489,tt41228546,Sultana,04-17-26,http://www.wikidata.org/entity/Q141491417,Sultana,,,identifier,tmdb_id+imdb_id+release_year_missing,0.50,review
https://example.org/movie/19995,19995,tt0499549,Avatar,12-16-09,http://www.wikidata.org/entity/Q24871,Avatar,12-16-09,http://dbpedia.org/resource/Avatar_(2009_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/218,218,tt0088247,The Terminator,10-26-84,http://www.wikidata.org/entity/Q162255,The Terminator,10-26-84,http://dbpedia.org/resource/The_Terminator,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/238,238,tt0068646,The Godfather,03-14-72,http://www.wikidata.org/entity/Q47703,The Godfather,03-15-72,http://dbpedia.org/resource/The_Godfather,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/24428,24428,tt0848228,The Avengers,04-25-12,http://www.wikidata.org/entity/Q182218,The Avengers,04-25-12,http://dbpedia.org/resource/The_Avengers_(2012_film),identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/264980,264980,tt0068986,Loves of a French Pussycat,03-09-72,http://www.wikidata.org/entity/Q1169889,Loves of a French Pussycat,03-09-72,,identifier,tmdb_id+imdb_id+release_year,1.00,review
https://example.org/movie/27205,27205,tt1375666,Inception,07-15-10,http://www.wikidata.org/entity/Q25188,Inception,07-08-10,http://dbpedia.org/resource/Inception,identifier,tmdb_id+imdb_id+release_year,1.00,approved
https://example.org/movie/278,278,tt0111161,The Shawshank Redemption,09-23-94,http://www.wikidata.org/entity/Q172241,The Shawshank Redemption,09-10-94,http://dbpedia.org/resource/The_Shawshank_Redemption,identifier,tmdb_id+imdb_id+release_year,1.00,approved
